"Merit No.","MHT-CET Score","Branch","Gender","Candidate Category","Seat Type","College Name","Application ID"
"112751","55.0733859","Civil Engineering","M","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24313924"
"129923","44.8929536","Civil Engineering","M","OBC$","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24319885"
"151738","28.8690743","Civil Engineering","M","OBC$","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24329702"
"158111","24.0053974","Civil Engineering","M","OPEN"," GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24322848"
"171943","9.9567819","Civil Engineering","M","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24163221"
"172074","9.8530334","Civil Engineering","M","OBC","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24328889"
"82076","70.2544031","Civil Engineering","M","OPEN"," GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24317834"
"175584","5.8257220","Civil Engineering","M","NT 3 (NT-D)","~ GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24299249"
"76562","72.5041736","Computer Engineering","M","NT 2 (NT-C)","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24204478"
"80711","70.5215521","Computer Engineering","F","OBC$#","- LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24289287"
"88848","67.0458361","Computer Engineering","F","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24277592"
"102362","60.5030966","Computer Engineering","F","OPEN","& LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24319781"
"105958","58.5786927","Computer Engineering","M","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24128078"
"110147","56.9588351","Computer Engineering","F","NT 2 (NT-C)$","^LNT2H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24123071"
"113043","54.7526673","Computer Engineering","M","SC","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24247253"
"114799","54.0550229","Computer Engineering","F","SC","^LSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24151395"
"115091","53.8203081","Computer Engineering","F","OPEN","- LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24121876"
"120329","50.8618056","Computer Engineering","F","OPEN","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24167052"
"121382","50.0957604","Computer Engineering","M","NT 2 (NT-C)","^ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24266163"
"122713","49.6193645","Computer Engineering","M","SC","~ GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24192125"
"123044","49.5130960","Computer Engineering","F","OPEN","@LOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24313567"
"124345","48.6138054","Computer Engineering","M","OPEN","-LSTH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24215457"
"125282","47.9076668","Computer Engineering","F","OPEN"," GSTH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24131454"
"125826","47.4576949","Computer Engineering","F","OBC","^ LOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24153758"
"127321","46.3828235","Computer Engineering","F","SEBC$#","- LSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24311886"
"127648","46.3657898","Computer Engineering","M","OPEN","& PWDOPEΝΗ","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24166657"
"127840","46.3188381","Computer Engineering","F","OPEN","& GOPENH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24324369"
"129688","45.3423263","Computer Engineering","M","NT 2 (NT-C)","* GNT2H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24133041"
"132637","43.1231034","Computer Engineering","F","SEBC$#","& GSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24252613"
"136525","40.2848342","Computer Engineering","M","SC"," GSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24207575"
"139283","38.7773761","Computer Engineering","M","SC","AGSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24171050"
"139508","38.7773761","Computer Engineering","M","SEBC$","~ GSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24124489"
"140914","37.6014199","Computer Engineering","M","DT/VJ","-LVJH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24303217"
"142187","36.6283954","Computer Engineering","F","SC$"," GSCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24159632"
"143888","35.2166182","Computer Engineering","M","OBC"," GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24228563"
"144587","34.8052940","Computer Engineering","M","OBC$#","- GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24317701"
"145227","34.5790896","Computer Engineering","M","OBC"," GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24300111"
"148669","31.6234334","Computer Engineering","M","DT/VJ$","AGVJH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24315822"
"149149","31.3198919","Computer Engineering","F","OBC","- LOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24311844"
"155666","25.6745674","Computer Engineering","M","SBC$#","~ GOBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24287804"
"170199","11.8827852","Computer Engineering","F","NT 1 (NT-B)","~LNT1H","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24273191"
"129789","44.8929536","Computer Engineering","F","SEBC$","* GSEBCH","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24324333"
"86130","68.2901694","Computer Engineering","F","OPEN","- LOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24125693"
"117267","52.5184688","Computer Engineering","M","OBC$","@GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24309523"
"120903","50.6340761","Computer Engineering","M","SEBC","@GOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24161850"
"130715","44.4778985","Computer Engineering","F","SEBC$"," LOPENO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24318596"
"132662","43.1231034","Computer Engineering","M","OPEN","& LSTO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24255411"
"135822","40.9947600","Computer Engineering","F","OPEN","* GSEBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24153462"
"137142","40.1066152","Computer Engineering","M","OBC","& GOBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24289710"
"154360","27.4048925","Computer Engineering","M","SC$"," GSCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24320715"
"166201","16.2423214","Computer Engineering","F","OBC","& GOBCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24155017"
"146394","33.5585964","Computer Engineering","F","SC","*LSCO","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24280991"
"71559","74.4421543","Computer Engineering","M","OPEN","& DEFOPENS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24257443"
"101263","60.6237408","Computer Engineering","F","OPEN","* EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24248238"
"110347","56.8466110","Computer Engineering","M","OPEN"," EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24161775"
"114346","54.0859766","Computer Engineering","M","OPEN","- EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24252915"
"115474","53.7694785","Computer Engineering","F","OPEN","- EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24161319"
"116290","53.5178490","Computer Engineering","F","OPEN","~EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24292260"
"117916","52.0861037","Computer Engineering","F","OPEN","EWS","STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","EN24310181"
